INDIC,TAMIL
சுத்தம்,தூய்மை
கலாச்சாரம்,பண்பாடு
சௌகர்யம் / சௌகரியம்,நலம்
சௌகர்யம் / சௌகரியம்,வசதி
அசௌகரியம் / அசௌகர்யம்,நலக்குறைவு
கலாக்ஷேத்ரா,கலைக்கூடம்
தேவஸ்தானம்,ஆலயம்
தேவஸ்தானம்,திருக்கோயில்
தம்பதிகள்,மணமக்கள்
தம்பதிகள்,இணையர்
தீர்த்தம்,நன்னீர்
தீபம்,சுடர்
துஷ்டன்,தீயவன்
துஷ்ட மிருகங்கள்,கொடிய விலங்குகள்
துர்லபம்,அரிது
துரிதம்,விரைவு
துரிதம்,வேகம்
பகிரங்கம்,வெளிப்படை
பஞ்சாமிர்தம்,ஐந்தமுது
பஞ்சாங்கம்,ஐந்திறம்
பதார்த்தம்,கறி
பிராயச்சித்தம்,கழுவாய்
பிரகாசம்,வெளிச்சம்
பிரயாசை,முயற்சி
பிரசுரம்,வெளியீடு
புஷ்டி,புடைப்பு
பூர்வீகம்,பழமை
நைவேத்யம்,படையல்
நிவேதனம்,படையல்
யாத்திரை,பயணம்
யதார்த்தம்,இயல்பான
யாகம்,வேள்வி
யோக்கியதை,தகுதி
ரகசியம்,கமுக்கம்
ரகசியம்,மறைபொருள்
வாஸ்தவம்,மெய்
வாய்தா,கெடு
வாயு,காற்று
வாயு,வளி
வியாதி,நோய்
வியாபாரம்,வணிகம்
வியாபாரி,வணிகர்
விரோதி,பகைவன்
விவகாரம்,சிக்கல்
விவகாரம்,வழக்கு
விவசாயம்,உழவு
விவசாயம்,வேளாண்மை
வைத்தியம்,மருத்துவம்
வைத்தியர்,மருத்துவர்
விசுவாசம்,நம்பிக்கை
விருக்ஷம்,மரம்
விசாரணை,வினவல்
வித்தியாசம்,வேறுபாடு
முகஸ்துதி,முகமன்
ஜீவிதம்,வாழ்க்கை
ஜீவனம்,பிழைப்பு
ஜீவனம்,வாழ்க்கை
தயார்,ஆயத்தம்
சாவி,திறவுகோல்
ஸ்தம்பித்தல்,திகைத்தல்
ஸ்தம்பித்தல்,செயலற்று நிற்றல்
வஸ்திரம்,ஆடை
ஸ்திரம்,நிலையானது
ஜட்டி,கீழாடை
ஜட்டி,உள்ளாடை
ஜட்டி,இடை ஆடை
கிருகம்,மனை
சிஷ்யன்,மாணவன்
நாமம்,பெயர்
ஷிரார்த்தம்/தர்ப்பணம்,நீர்க்கடன்
ரிஷி,துறவி
ரிஷி,அடிகள்
ஸ்நேகம்,நட்பு
ஸ்தலம்,இடம்
ரௌத்திரம்,சினம்
அஷ்டம,எட்டு
கோஷ்டி,கூட்டம்/குழாம்
ஸாமான்,பொருள்
கிருபை,அருள்
தாஸ்/தாசன்,அடிமை
தாஸ்/தாசன்,அடியவர்
ஸ்வர்ணம்/சொர்ணம்,தங்கம்
ஸ்வர்ணம்/சொர்ணம்,பொன்
ஷியாமள,கருமை
ஸ்திரீ,பெண்
மாங்கல்யம்,தாலி
இரசம்,சாறு
கமலம்,தாமரை
பத்ம,தாமரை
கிருஷ்ணன்,கண்ணன்
ஐஸ்வர்யம்,செல்வம்
பக்ஷணம் / பட்சணம்,உணவு/பலகாரம்
சதுர்,நான்கு
வேதம்,மறை
மோட்சம்/சுவர்கம்,வீடுபேறு
பாஜகம்,உணவு
பட்ஷி/பக்ஷி/பட்சி,பறவை
ரிஷபம்/ரிடபம்,காளை
கீர்த்தி,புகழ்
உபந்நியாசம்,விரிவுரை/சமய சொற்பொழிவு
த்வேஷம்,பகை
துவம்சம்,அழித்தல்
ரஸம்,உணர்வு
ஜெகம்,உலகம்
அக்ரஹாரம்,தெரு/வீதி
தரிசனம்/தர்ஷன்,காட்சி
நாஷ்டா,சிற்றுண்டி
ஆசனம்,இருக்கை
இராச்சியம்/இராஜ்ஜியம்,நாடு
உத்சவம்,ஊருலா/ஊர் உலா
கரகோஷம்,கரவொலி
சரஸ்வதி,கலைமகள்
ஆஷ்ரம்,தவக்குடில்
பந்தம்,பிணைப்பு
இராகம்,இசை/பண்
விமானம்,வான ஊர்தி/வானூர்தி
பிராமணர்,பார்ப்பனர்
பிராமணர்,அந்தணர்
மார்க்கம்,வழி/நெறி
திருஷ்டி,பார்வை/ நோக்குதல்
காயம்,உடல்
குரோதம்,சினம்/பகை
லீலை,விளையாட்டு
மகா,மா/பெரிய
சத்தியம்,வாய்மை
சர்வம்,எல்லாம்
சாந்தி,அமைதி
பிராணயாமம்,மூச்சுப் பயிற்சி
பவித்ரம்,தூய்மை
நித்யம்,நிலைத்த
நித்யம்,முடிவில்லாத
நரகம்,அளறு
விஜயம்,வருகை
ராக்ஷசன்/ ராட்சசன்,அசுரன்/நரகன்
ஏகம்/ஏக,ஒன்று
த்ரி,மூன்று
சூன்யம்/சூன்ய,வெறுமை/சுழி
பஞ்ச -,ஐந்து
ஸப்த,ஏழு
தச,பத்து
அசலம்,மலை
ஆகாசம்,வான்வெளி
ஆர்த்தி,தீபம்/ஒளி
ஷ்ரவணம்,ஆவணி/திருவோணம்
ப்ரியம்,அன்பு/விருப்பம்
சர்ப்பம்,நாகம்/பாம்பு
ரூபம்,வடிவம்/உருவம்
பகவான்,இறைவன்
நிரோதம்,கட்டுப்பாடு
கீதம்,பாடல்
ஜெய்,வெற்றி
கும்பம்,பானை/குடம்
விஜய்,வெற்றி
சுப்ரபாதம்,திருப்பள்ளியெழுச்சி
ஆபரணம்,அணிகலன்
விருட்சம்,மரம்
சௌக்கியம்,நலம்
சரித்திரம்,வரலாறு
உதாசீனம்,அசட்டை
உதாசீனம்,கவனியாமை
சகாயம்,உதவி
ஸ்பஷ்டமாக,தெளிவாக
ஆரம்பம்,துவக்கம்
வாகனம்,வண்டி
நர்த்தனம்,நடனம்/ஆடல்
மித்ரன்,தோழன்
அம்பா,அன்னை/தாய்
அத்யம்,இன்று
சாயா,நிழல்
மத்யம்,நடு
பாரிஜாதம்,பவளமல்லி
வராகம்,பன்றி
ஆஷாட,புரட்டாசி
அஸ்வின,ஐப்பசி
மார்கசீரிஷ,மார்கழி
பால்குந,பங்குனி
நிருத்தம்,நடனம்
வாமனம்,குள்ளம்
புராதனம்,பழைமை
நூதனம்,புதுமை
பூர்ண,முழுமையான
ஸங்கல்பம்,உறுதிமொழி
ஸந்தேஹம்,ஐயம்
அகிம்சை,வன்முறையின்மை
அகிம்சை,மென்முறை
மஹாத்மா,பேருயிர்
மஹாத்மா,அடிகள்
மஹாத்மா,அண்ணல்
சாத்வீகம்,அமைதி
ஜென்ம சாபல்யம்,பிறவிப்பயன்
விஸ்தீரணம்,பரப்பளவு
ஜபர்தஸ்து,வீண் பெருமை
ஜபர்தஸ்து,ஆடம்பரம்
பந்த்,கடையடைப்பு
ஹர்த்தால்,கடையடைப்பு
அவஸ்யம்,தேவை
ஜீவ நதி,வற்றா ஆறு
திருஷ்டாந்தம்,எடுத்துக்காட்டு
ஸ்தம்பம்,தூண்
ஸ்தம்பம்,மரம்
ஜில்பான்ஸ்,கிளுகிளு
நிமிஷம்,மணித்துளி
பிரசாதம்,திருப்பொருள்
பிரசாதம்,நல்லுணவு
பிரசாதம்,திருவமுது
வியாஜம்,காரணம்
தினசரி,நாளேடு
பத்திரிகை,இதழ்
பத்திரிகை,செய்தித் தாள்
கிரந்தம்,புத்தகம்
கிரந்தம்,நூல்
சாசனம்,விதி
சாசனம்,விதிமுறை
பாயாசம்,திருக்கண்ணமுது
ததியோதனம்,தயிர் அன்னம்
டமருகம்,உடுக்கை
வசந்தம்,வேனில்
பைசாசம்,பேய்
பைசாசம்,பிசாசு
சூத்திரம்,விதி
சூத்திரம்,தேற்றம்
சகோதரி,உடன்பிறந்தாள்
ஜனானா,அந்தப்புரம்
ஜவ்வு,சவ்வு
ஜவ்வு,மென்தோல்
ஜிமிக்கி,காதுக்கொடி
ஸ்தீரி,பெண்
ஸ்பரிசம்,தீண்டல்
ஸ்பரிசம்,தொடல்
ஷண்முகம்,அறுமுகம்
ஷண்,ஆறு
அஷ்டம்,எட்டு
சப்தம்,ஒலி
சப்தம்,(எண் வகையில்) ஏழு
பிரதமம்,முதன்மை
த்வீதியம்,இருமை
த்வீதியம்,இரண்டு
பஞ்சமம்,ஐந்து
நவ,ஒன்பது
சதம்,நூறு
விசர்ஜனம்,முழுக்கு
வந்தே மாதரம்,தாயே வணக்கம்
வந்தனம்,வணக்கம்
ஸ்பஷ்டம்,தெளிவு
ரீதி,வழி
ரீதி,முறை
ரீதி,கோணம்
ரீதி,
சகஸ்ரம்,ஆயிரம்
திருஷ்டி,கண்ணெச்சில்
திருஷ்டி,கண்ணேறு
திருஷ்டி,அந்திக்காப்பு
மயானம்,சுடலை
ஜுவாலை,தீச்சுடர்
ஜுவாலை,கொழுந்து
பிரஸ்தாபம்,பேச்சு
சொஸ்தம்,நலம்
புஜம்,கை
ஜோர்,அருமை
வஸ்து,பொருள்
அஸ்தி,எலும்பு
அஸ்தி,உடல்
அஸ்தி,இருத்தல்
மோஸ்தர்,பாணி
தக்ஷிணம்,தெற்கு
தட்சிணாயணம்,தென்வழி
உத்தராயணம்,வடவழி
தட்சிணம்,தெற்கு
உத்திரம்,வடக்கு
வசந்த காலம்,வேனிற்காலம்
நிரஞ்சனா,மாசிலி
நிரஞ்சனா,அமலை
பரிசுத்தம்,தூய்மை
வார்த்தை,சொல்
சில்மிஷம்,குறும்பு
தர்மம்,அறம்
கர்மம்,செயல்
முஷ்டி,முழங்கை
சர்வ ரோக நிவாரிணி,பல நோய்ப் போக்கி
நிவாரணம்,ஈடு
நிவாரணம்,இழப்பீடு
ஜாடை,சாயல்
ஜடை,பின்னல்
லட்சணம்,அழகு
டாம்பீகம்,வீண்பெருமை
ஜம்பு,நாவல் (பழம்)
ஜம்புத்வீபம்,நாவலந்தீவு
ஹஸ்தம்,கை
சந்தர்ப்பம்,தருணம்
சந்தர்ப்பம்,தருவாய்
இரகசியம்,கமுக்கம்
இரகசியம்,மறைபொருள்
வசனம்,உரையாடல்
கலாசாலை,பள்ளிக்கூடம்
சயனம்,தூக்கம்
சயனம்,உறக்கம்
திரிவேணி சங்கமம்,முக்கூடல்
விருத்தாச்சலம்,பழமலை
விருத்தாச்சலம்,முதுகுன்றம்
சிதம்பரம்,திருச்சிற்றம்பலம்
திண்டிவனம்,புளியங்காடு
வேதாரண்யம்,திருமரைக்காடு
சைவம்,மரக்கறி
ஜோசியர்,கணியன்
ஜோலார்பேட்,சோலையார்ப்பேட்டை
சவால்,அறைகூவல்
கர்ப்பகிரஹம்,கருவறை
சாரதி,வலவர்
சாஷ்டாங்கம்,நெடுஞ்சாண்கிடை
ஆச்சரியம்,விந்தை
யுத்தம்,போர்
எமன்,கூற்றுவன்
சபதம்,சூளுரைத்தல்
விவாகம்,திருமணம்
விவாகரத்து,மணமுறிவு
அகதி,ஏதிலி
நிரூபணம்,உறுதிப்பாடு
நிர்பந்தம்,கட்டாயம்
சாயங்காலம்,மாலை நேரம்
சுவாரஸ்யம்,சுவையாரம்
சுவாரஸ்யம்,ஆர்வமூட்டுவதாக
அசரீரி,வானிழல்; உடலற்ற பொருள்;
ஹேஷ்யம்,ஊகம்
சூதனம்,கவனம்
சூதனம்,எச்சரிக்கை
சூதனம்,பத்திரம்
சூதனம்,விழிப்பு
சூதனம்,காத்தல்
சம்பவம்,நிகழ்வு
பிரகடனம்,அறிவித்தல்
லஞ்சம்,கையூட்டு
பஸ்பம்,பொடி
ஜகஜ்ஜோதி,ஒளிவெள்ளம்
ஏகதேச உருவகம்,ஒருபுடை உருவகம்
அம்சம்,இயல்பு
சம்சாரம்,மனைவி (அ) உலகம்
மெளனம்,அமைதி
நிசப்தம்,ஒலியின்மை
நிசப்தம்,அமைதி
நிஷ்காம்யம்,பற்றின்மை
கலசம்,கலயம்
கலசம்,திருக்குடம்
ஹோமம்,வேள்வி
பிரேமை,காதல்
சுந்தரம்,அழகு
சபை,அவை
நடராஜர்,கூத்தபிரான்
நடராஜர்,ஆடலரசன்
நடராஜர்,ஆடல்வல்லான்
தேகம்,உடல்
துஷ்ட,தீய
ரேகை,கோடு
துருவம்,முனை
வெராண்டா,தாழ்வாரம்
அக்னி,தீ
அக்னி,நெருப்பு
சன்மானம்,வெகுமதி
சன்மானம்,பரிசு
ஜலஜா,அலைமகள்
ஷைலஜா,மலைமகள்
சாகரம்,கடல்
சாகரம்,ஆழி
