INDIC,TAMIL
இகம்,இப்பிறப்பு
நிருவாகம்,கொண்டு நடத்தல்
கோஷ்டம்,கூட்டம்
பலித்தல்,பயன்றருதல்
ஆரோஹணம்,ஏறோசை
சீக்கிரம்,கடிது
கிஸ்தி,திறை
தோஷநிவர்த்தி,குறைநீக்கம்
உபாயம்,சூழ்ச்சி
தருணம்,பொழுது
புருடன்,ஆண்மகன்
ரீதி,வழி
திவ்வியம்,இனிமை
காயம்,உடல்
சிங்குவை,வாய்
சம்ஸாரம்,குடும்பம்
ஸ்திரீதனம்,மகட்கொடை
இமிசை,கடுந்துன்பம்
கோஷ்டம்,மணப் பொருள்
மத்திபம்,நடு
பிரசவம்,மகப்பேறு
கருமம்,வினை
தூஷணை,பழி
நட்டம்,கேடு
பீசம்,விதை
பிராணயாமம்,மூச்சுப் பயிற்சி
இரசவாதம்,பொன்னாக்கல்
கைங்கரியம்,பணி
நடராஜன்,அம்பலவாணன்
கோத்திரம்,வகுப்பு
ஆதிக்கம்,தலைமை
டமருகம்,உடுக்கை
தூபம்,புகை
சங்கை,அச்சம்
இதம்,அறம்
கஜானா,கருவூலம்
சுக்கிலபக்ஷம்,வளர்பிறை
வாசனை,மணம்
சாதி,இனம்
தாவரவியல்,செடியியல்
கயிலாயம்,நொடித்தான்மலை
பிரயாணம்,வழிச்செலவு
இரசிகன்,சுவைஞன்
ஸாமான்,பொருள்
தாரதம்மியம்,ஏற்றத்தாழ்வு
நாதம்,செம்பால்
அந்தரங்கம்,மறைபொருள்
துவசம்,கொடி
பாத்திரம்,கலம்
மநப்பூர்வம்,முழுமனது
உபகாரம்,உதவி
தசாவதாரம்,பத்துப் பிறப்பு
பதம்,சொல்
சரசம்,இனிய பண்பு
துக்கம்,துயரம்
ஆப்தம்,நட்பு
சமுச்சயம்,கூட்டம்
சீவசெந்து,உயிர்ப்பொருள்
இரசம்,மிளகுநீர்
பலித்தல்,கைகூடுதல்
சமாதானம்,அமைதி
நிவாரணம்,ஈடு
ஆசிரமம்,பள்ளி
விவாதம்,வழக்கு
உபத்திரவம்,இக்கட்டு
கோரம்,அச்சம்
நந்தனவனம்,பூந்தோட்டம்
ஶ்ரீ,திரு
அந்தம்,அழகு
பரம்பரை,தலைமுறை
அர்ப்பணம்,ஒப்புவித்தல்
