INDIC,TAMIL
வாகனம்,வண்டி
நர்த்தனம்,நடனம்/ஆடல்
மித்ரன்,தோழன்
அம்பா,அன்னை/தாய்
அத்யம்,இன்று
சாயா,நிழல்
மத்யம்,நடு
பாரிஜாதம்,பவளமல்லி
வராகம்,பன்றி
ஆஷாட,புரட்டாசி
அஸ்வின,ஐப்பசி
மார்கசீரிஷ,மார்கழி
பால்குந,பங்குனி
நிருத்தம்,நடனம்
வாமனம்,குள்ளம்
புராதனம்,பழைமை
நூதனம்,புதுமை
பூர்ண,முழுமையான
ஸங்கல்பம்,உறுதிமொழி
ஸந்தேஹம்,ஐயம்
அகிம்சை,"வன்முறையின்மை,மென்முறை"
மஹாத்மா,"பேருயிர்,அடிகள்,அண்ணல்"
சாத்வீகம்,அமைதி
ஜென்ம சாபல்யம்,பிறவிப்பயன்
விஸ்தீரணம்,பரப்பளவு
ஜபர்தஸ்து,"வீண் பெருமை,ஆடம்பரம்"
பந்த்,கடையடைப்பு
ஹர்த்தால்,கடையடைப்பு
அவஸ்யம்,தேவை
ஜீவ நதி,வற்றா ஆறு
திருஷ்டாந்தம்,எடுத்துக்காட்டு
ஸ்தம்பம்,"தூண்,மரம்"
ஜில்பான்ஸ்,கிளுகிளு
நிமிஷம்,மணித்துளி
பிரசாதம்,"திருப்பொருள்,நல்லுணவு,திருவமுது"
வியாஜம்,காரணம்
தினசரி,நாளேடு
பத்திரிகை,"இதழ்,செய்தித் தாள்"
கிரந்தம்,"புத்தகம்,நூல்"
சாசனம்,"விதி,விதிமுறை"
பாயாசம்,திருக்கண்ணமுது
ததியோதனம்,தயிர் அன்னம்
டமருகம்,உடுக்கை
வசந்தம்,வேனில்
பைசாசம்,"பேய்,பிசாசு"
சூத்திரம்,"விதி,தேற்றம்"
சகோதரி,உடன்பிறந்தாள்
ஜனானா,அந்தப்புரம்
ஜவ்வு,"சவ்வு,மென்தோல்"
ஜிமிக்கி,காதுக்கொடி
ஸ்தீரி,பெண்
ஸ்பரிசம்,"தீண்டல்,தொடல்"
ஷண்முகம்,அறுமுகம்
ஷண்,ஆறு
அஷ்டம்,எட்டு
சப்தம்,"ஒலி,(எண் வகையில்) ஏழு"
பிரதமம்,முதன்மை
த்வீதியம்,"இருமை,இரண்டு"
பஞ்சமம்,ஐந்து
நவ,ஒன்பது
சதம்,நூறு
விசர்ஜனம்,முழுக்கு
வந்தே மாதரம்,தாயே வணக்கம்
வந்தனம்,வணக்கம்
ஸ்பஷ்டம்,தெளிவு
ரீதி,"வழி,முறை,கோணம்,"
சகஸ்ரம்,ஆயிரம்
மயானம்,சுடலை
